nome,id_aluno,dominio,email,matriculas
FRANCIELE,316,@dominioemail.com.br,franciele@dominioemail.com.br,2
SAMARA,352,@servicodoemail.com,samara@servicodoemail.com,1
LILIAN,397,@dominioemail.com.br,lilian@dominioemail.com.br,1
JANETE,334,@dominioemail.com.br,janete@dominioemail.com.br,1
CICERA,399,@servicodoemail.com,cicera@servicodoemail.com,3
GIOVANA,176,@servicodoemail.com,giovana@servicodoemail.com,2
SEVERINA,5,@dominioemail.com.br,severina@dominioemail.com.br,1
LARA,160,@dominioemail.com.br,lara@dominioemail.com.br,1
CLEIDE,368,@servicodoemail.com,cleide@servicodoemail.com,1
NICOLE,182,@dominioemail.com.br,nicole@dominioemail.com.br,2
CECILIA,144,@dominioemail.com.br,cecilia@dominioemail.com.br,2
YASMIN,386,@servicodoemail.com,yasmin@servicodoemail.com,2
CONCEICAO,153,@dominioemail.com.br,conceicao@dominioemail.com.br,4
INGRID,81,@dominioemail.com.br,ingrid@dominioemail.com.br,3
SELMA,118,@dominioemail.com.br,selma@dominioemail.com.br,3
LEILA,157,@servicodoemail.com,leila@servicodoemail.com,2
RAIANE,247,@servicodoemail.com,raiane@servicodoemail.com,1
ESTER,202,@servicodoemail.com,ester@servicodoemail.com,1
REGIANE,308,@dominioemail.com.br,regiane@dominioemail.com.br,5
MARISA,105,@servicodoemail.com,marisa@servicodoemail.com,1
EUNICE,62,@servicodoemail.com,eunice@servicodoemail.com,2
KELLY,109,@dominioemail.com.br,kelly@dominioemail.com.br,3
TAINARA,128,@servicodoemail.com,tainara@servicodoemail.com,1
IARA,82,@servicodoemail.com,iara@servicodoemail.com,6
JOELMA,394,@dominioemail.com.br,joelma@dominioemail.com.br,4
MARINALVA,243,@dominioemail.com.br,marinalva@dominioemail.com.br,1
TERESINHA,45,@dominioemail.com.br,teresinha@dominioemail.com.br,1
REBECA,165,@servicodoemail.com,rebeca@servicodoemail.com,4
GERALDA,314,@servicodoemail.com,geralda@servicodoemail.com,1
CLEONICE,90,@servicodoemail.com,cleonice@servicodoemail.com,1
ALEXANDRA,317,@servicodoemail.com,alexandra@servicodoemail.com,2
MARA,375,@servicodoemail.com,mara@servicodoemail.com,1
JENIFER,353,@servicodoemail.com,jenifer@servicodoemail.com,2
ELIZANGELA,250,@dominioemail.com.br,elizangela@dominioemail.com.br,2
LILIANE,299,@dominioemail.com.br,liliane@dominioemail.com.br,2
LIDIA,167,@dominioemail.com.br,lidia@dominioemail.com.br,1
IRACEMA,168,@dominioemail.com.br,iracema@dominioemail.com.br,3
LIDIANE,389,@servicodoemail.com,lidiane@servicodoemail.com,6
IRACI,8,@dominioemail.com.br,iraci@dominioemail.com.br,1
MARILIA,282,@dominioemail.com.br,marilia@dominioemail.com.br,4
SHEILA,116,@dominioemail.com.br,sheila@dominioemail.com.br,1
INES,319,@servicodoemail.com,ines@servicodoemail.com,1
NAIARA,229,@dominioemail.com.br,naiara@dominioemail.com.br,3
POLIANA,369,@servicodoemail.com,poliana@servicodoemail.com,1
DALVA,137,@dominioemail.com.br,dalva@dominioemail.com.br,1
LURDES,346,@dominioemail.com.br,lurdes@dominioemail.com.br,1
TERESA,264,@dominioemail.com.br,teresa@dominioemail.com.br,1
ZILDA,237,@servicodoemail.com,zilda@servicodoemail.com,1
LUCILENE,146,@dominioemail.com.br,lucilene@dominioemail.com.br,2
CLARA,277,@servicodoemail.com,clara@servicodoemail.com,1
ROSANE,227,@dominioemail.com.br,rosane@dominioemail.com.br,1
IVONETE,222,@dominioemail.com.br,ivonete@dominioemail.com.br,2
LUCIANE,50,@dominioemail.com.br,luciane@dominioemail.com.br,1
ISADORA,38,@dominioemail.com.br,isadora@dominioemail.com.br,8
NILZA,35,@dominioemail.com.br,nilza@dominioemail.com.br,1
JOSE,331,@servicodoemail.com,jose@servicodoemail.com,2
JOAO,24,@servicodoemail.com,joao@servicodoemail.com,3
ANTONIO,205,@dominioemail.com.br,antonio@dominioemail.com.br,1
FRANCISCO,382,@servicodoemail.com,francisco@servicodoemail.com,1
CARLOS,230,@servicodoemail.com,carlos@servicodoemail.com,1
PAULO,11,@servicodoemail.com,paulo@servicodoemail.com,1
PEDRO,67,@dominioemail.com.br,pedro@dominioemail.com.br,2
LUCAS,29,@servicodoemail.com,lucas@servicodoemail.com,2
LUIZ,208,@servicodoemail.com,luiz@servicodoemail.com,1
MARCOS,390,@servicodoemail.com,marcos@servicodoemail.com,1
LUIS,125,@dominioemail.com.br,luis@dominioemail.com.br,2
GABRIEL,219,@servicodoemail.com,gabriel@servicodoemail.com,3
RAFAEL,162,@servicodoemail.com,rafael@servicodoemail.com,2
DANIEL,195,@servicodoemail.com,daniel@servicodoemail.com,1
MARCELO,138,@dominioemail.com.br,marcelo@dominioemail.com.br,4
BRUNO,293,@dominioemail.com.br,bruno@dominioemail.com.br,1
EDUARDO,224,@dominioemail.com.br,eduardo@dominioemail.com.br,1
FELIPE,113,@servicodoemail.com,felipe@servicodoemail.com,2
RAIMUNDO,70,@dominioemail.com.br,raimundo@dominioemail.com.br,3
RODRIGO,133,@dominioemail.com.br,rodrigo@dominioemail.com.br,2
MANOEL,101,@servicodoemail.com,manoel@servicodoemail.com,2
MATEUS,309,@dominioemail.com.br,mateus@dominioemail.com.br,1
ANDRE,311,@dominioemail.com.br,andre@dominioemail.com.br,1
FERNANDO,321,@dominioemail.com.br,fernando@dominioemail.com.br,1
FABIO,400,@servicodoemail.com,fabio@servicodoemail.com,3
LEONARDO,236,@servicodoemail.com,leonardo@servicodoemail.com,5
GUSTAVO,86,@servicodoemail.com,gustavo@servicodoemail.com,2
GUILHERME,327,@dominioemail.com.br,guilherme@dominioemail.com.br,1
LEANDRO,302,@servicodoemail.com,leandro@servicodoemail.com,2
TIAGO,267,@dominioemail.com.br,tiago@dominioemail.com.br,1
ANDERSON,111,@servicodoemail.com,anderson@servicodoemail.com,1
RICARDO,336,@servicodoemail.com,ricardo@servicodoemail.com,12
MARCIO,322,@dominioemail.com.br,marcio@dominioemail.com.br,2
JORGE,330,@servicodoemail.com,jorge@servicodoemail.com,2
SEBASTIAO,152,@servicodoemail.com,sebastiao@servicodoemail.com,4
ALEXANDRE,188,@servicodoemail.com,alexandre@servicodoemail.com,1
ROBERTO,364,@dominioemail.com.br,roberto@dominioemail.com.br,2
EDSON,123,@servicodoemail.com,edson@servicodoemail.com,1
DIEGO,294,@dominioemail.com.br,diego@dominioemail.com.br,1
VITOR,132,@servicodoemail.com,vitor@servicodoemail.com,2
SERGIO,139,@servicodoemail.com,sergio@servicodoemail.com,2
CLAUDIO,204,@servicodoemail.com,claudio@servicodoemail.com,1
MATHEUS,93,@servicodoemail.com,matheus@servicodoemail.com,1
THIAGO,339,@dominioemail.com.br,thiago@dominioemail.com.br,1
GERALDO,318,@dominioemail.com.br,geraldo@dominioemail.com.br,2
ADRIANO,196,@servicodoemail.com,adriano@servicodoemail.com,3
LUCIANO,63,@dominioemail.com.br,luciano@dominioemail.com.br,4
JULIO,210,@dominioemail.com.br,julio@dominioemail.com.br,1
RENATO,384,@servicodoemail.com,renato@servicodoemail.com,5
ALEX,337,@dominioemail.com.br,alex@dominioemail.com.br,3
VINICIUS,183,@servicodoemail.com,vinicius@servicodoemail.com,1
ROGERIO,175,@dominioemail.com.br,rogerio@dominioemail.com.br,1
SAMUEL,220,@dominioemail.com.br,samuel@dominioemail.com.br,1
RONALDO,356,@servicodoemail.com,ronaldo@servicodoemail.com,1
MARIO,164,@dominioemail.com.br,mario@dominioemail.com.br,1
FLAVIO,186,@dominioemail.com.br,flavio@dominioemail.com.br,1
DOUGLAS,46,@dominioemail.com.br,douglas@dominioemail.com.br,1
IGOR,345,@servicodoemail.com,igor@servicodoemail.com,2
DAVI,131,@servicodoemail.com,davi@servicodoemail.com,1
MANUEL,51,@dominioemail.com.br,manuel@dominioemail.com.br,2
JEFERSON,98,@servicodoemail.com,jeferson@servicodoemail.com,2
CICERO,198,@dominioemail.com.br,cicero@dominioemail.com.br,1
VICTOR,216,@servicodoemail.com,victor@servicodoemail.com,1
MIGUEL,239,@dominioemail.com.br,miguel@dominioemail.com.br,2
ROBSON,290,@dominioemail.com.br,robson@dominioemail.com.br,4
MAURICIO,395,@servicodoemail.com,mauricio@servicodoemail.com,1
DANILO,348,@dominioemail.com.br,danilo@dominioemail.com.br,3
HENRIQUE,64,@dominioemail.com.br,henrique@dominioemail.com.br,3
CAIO,283,@dominioemail.com.br,caio@dominioemail.com.br,1
REGINALDO,170,@servicodoemail.com,reginaldo@servicodoemail.com,1
JOAQUIM,248,@servicodoemail.com,joaquim@servicodoemail.com,2
BENEDITO,258,@dominioemail.com.br,benedito@dominioemail.com.br,3
GILBERTO,252,@dominioemail.com.br,gilberto@dominioemail.com.br,4
MARCO,270,@servicodoemail.com,marco@servicodoemail.com,1
ALAN,355,@dominioemail.com.br,alan@dominioemail.com.br,2
NELSON,392,@dominioemail.com.br,nelson@dominioemail.com.br,1
CRISTIANO,154,@servicodoemail.com,cristiano@servicodoemail.com,1
ELIAS,360,@dominioemail.com.br,elias@dominioemail.com.br,3
WILSON,41,@dominioemail.com.br,wilson@dominioemail.com.br,1
VALDIR,307,@servicodoemail.com,valdir@servicodoemail.com,1
EMERSON,373,@dominioemail.com.br,emerson@dominioemail.com.br,3
LUAN,66,@dominioemail.com.br,luan@dominioemail.com.br,1
DAVID,207,@dominioemail.com.br,david@dominioemail.com.br,2
RENAN,9,@dominioemail.com.br,renan@dominioemail.com.br,3
SEVERINO,78,@dominioemail.com.br,severino@dominioemail.com.br,1
FABRICIO,59,@dominioemail.com.br,fabricio@dominioemail.com.br,2
MAURO,251,@servicodoemail.com,mauro@servicodoemail.com,3
JONAS,120,@dominioemail.com.br,jonas@dominioemail.com.br,3
GILMAR,142,@servicodoemail.com,gilmar@servicodoemail.com,4
JEAN,89,@dominioemail.com.br,jean@dominioemail.com.br,1
FABIANO,365,@servicodoemail.com,fabiano@servicodoemail.com,2
WESLEY,255,@dominioemail.com.br,wesley@dominioemail.com.br,1
DIOGO,61,@servicodoemail.com,diogo@servicodoemail.com,2
ADILSON,257,@dominioemail.com.br,adilson@dominioemail.com.br,3
JAIR,344,@dominioemail.com.br,jair@dominioemail.com.br,1
ALESSANDRO,47,@servicodoemail.com,alessandro@servicodoemail.com,2
EVERTON,87,@servicodoemail.com,everton@servicodoemail.com,3
OSVALDO,110,@servicodoemail.com,osvaldo@servicodoemail.com,5
GILSON,134,@dominioemail.com.br,gilson@dominioemail.com.br,2
WILLIAN,17,@servicodoemail.com,willian@servicodoemail.com,1
JOEL,194,@dominioemail.com.br,joel@dominioemail.com.br,1
SILVIO,363,@dominioemail.com.br,silvio@dominioemail.com.br,4
HELIO,117,@dominioemail.com.br,helio@dominioemail.com.br,1
MAICON,295,@servicodoemail.com,maicon@servicodoemail.com,4
REINALDO,28,@servicodoemail.com,reinaldo@servicodoemail.com,1
PABLO,141,@dominioemail.com.br,pablo@dominioemail.com.br,6
ARTUR,199,@servicodoemail.com,artur@servicodoemail.com,1
VAGNER,15,@servicodoemail.com,vagner@servicodoemail.com,4
VALTER,88,@servicodoemail.com,valter@servicodoemail.com,2
CELSO,266,@servicodoemail.com,celso@servicodoemail.com,2
IVAN,263,@dominioemail.com.br,ivan@dominioemail.com.br,6
CLEITON,223,@dominioemail.com.br,cleiton@dominioemail.com.br,5
VANDERLEI,244,@servicodoemail.com,vanderlei@servicodoemail.com,3
VICENTE,260,@servicodoemail.com,vicente@servicodoemail.com,2
ARTHUR,320,@dominioemail.com.br,arthur@dominioemail.com.br,2
MILTON,104,@servicodoemail.com,milton@servicodoemail.com,1
DOMINGOS,150,@servicodoemail.com,domingos@servicodoemail.com,1
WAGNER,140,@servicodoemail.com,wagner@servicodoemail.com,1
SANDRO,68,@dominioemail.com.br,sandro@dominioemail.com.br,1
MOISES,4,@servicodoemail.com,moises@servicodoemail.com,1
EDILSON,57,@servicodoemail.com,edilson@servicodoemail.com,1
ADEMIR,305,@servicodoemail.com,ademir@servicodoemail.com,3
ADAO,234,@dominioemail.com.br,adao@dominioemail.com.br,1
EVANDRO,52,@dominioemail.com.br,evandro@dominioemail.com.br,2
CESAR,2,@dominioemail.com.br,cesar@dominioemail.com.br,1
VALMIR,19,@dominioemail.com.br,valmir@dominioemail.com.br,2
MURILO,269,@dominioemail.com.br,murilo@dominioemail.com.br,1
JULIANO,374,@dominioemail.com.br,juliano@dominioemail.com.br,1
EDVALDO,313,@servicodoemail.com,edvaldo@servicodoemail.com,3
AILTON,26,@servicodoemail.com,ailton@servicodoemail.com,1
JUNIOR,184,@dominioemail.com.br,junior@dominioemail.com.br,4
BRENO,187,@dominioemail.com.br,breno@dominioemail.com.br,1
NICOLAS,44,@dominioemail.com.br,nicolas@dominioemail.com.br,5
RUAN,130,@servicodoemail.com,ruan@servicodoemail.com,1
ALBERTO,245,@dominioemail.com.br,alberto@dominioemail.com.br,1
RUBENS,256,@dominioemail.com.br,rubens@dominioemail.com.br,2
NILTON,271,@dominioemail.com.br,nilton@dominioemail.com.br,5
AUGUSTO,376,@dominioemail.com.br,augusto@dominioemail.com.br,1
CLEBER,155,@dominioemail.com.br,cleber@dominioemail.com.br,3
OSMAR,71,@dominioemail.com.br,osmar@dominioemail.com.br,2
NILSON,361,@servicodoemail.com,nilson@servicodoemail.com,2
ORLANDO,159,@servicodoemail.com,orlando@servicodoemail.com,8
HUGO,378,@servicodoemail.com,hugo@servicodoemail.com,1
OTAVIO,272,@servicodoemail.com,otavio@servicodoemail.com,1
VINICIOS,147,@servicodoemail.com,vinicios@servicodoemail.com,2
ITALO,206,@dominioemail.com.br,italo@dominioemail.com.br,2
WILIAN,279,@servicodoemail.com,wilian@servicodoemail.com,1
ALISSON,315,@dominioemail.com.br,alisson@dominioemail.com.br,2
APARECIDO,332,@dominioemail.com.br,aparecido@dominioemail.com.br,1
ISRAEL,65,@dominioemail.com.br,israel@dominioemail.com.br,1
EDMILSON,326,@dominioemail.com.br,edmilson@dominioemail.com.br,1
JOSUE,393,@dominioemail.com.br,josue@dominioemail.com.br,3
GERSON,169,@dominioemail.com.br,gerson@dominioemail.com.br,5
CAUA,77,@dominioemail.com.br,caua@dominioemail.com.br,3
SIDNEI,291,@servicodoemail.com,sidnei@servicodoemail.com,1
EMANUEL,351,@servicodoemail.com,emanuel@servicodoemail.com,1
VALDEMAR,119,@dominioemail.com.br,valdemar@dominioemail.com.br,2
JAIME,214,@servicodoemail.com,jaime@servicodoemail.com,1
EDIVALDO,354,@dominioemail.com.br,edivaldo@dominioemail.com.br,1
ARNALDO,359,@servicodoemail.com,arnaldo@servicodoemail.com,1
MOACIR,181,@dominioemail.com.br,moacir@dominioemail.com.br,2
DAMIAO,349,@servicodoemail.com,damiao@servicodoemail.com,4
ISMAEL,100,@servicodoemail.com,ismael@servicodoemail.com,1
NIVALDO,362,@servicodoemail.com,nivaldo@servicodoemail.com,2
JAIRO,136,@dominioemail.com.br,jairo@dominioemail.com.br,2
ISAIAS,177,@dominioemail.com.br,isaias@dominioemail.com.br,1
MICHEL,385,@servicodoemail.com,michel@servicodoemail.com,1
ANGELO,85,@servicodoemail.com,angelo@servicodoemail.com,2
CRISTIAN,398,@servicodoemail.com,cristian@servicodoemail.com,3
WELLINGTON,40,@servicodoemail.com,wellington@servicodoemail.com,1
ALEXANDRO,341,@servicodoemail.com,alexandro@servicodoemail.com,4
VALDEMIR,3,@dominioemail.com.br,valdemir@dominioemail.com.br,3
WANDERSON,312,@dominioemail.com.br,wanderson@dominioemail.com.br,1
JAILSON,306,@dominioemail.com.br,jailson@dominioemail.com.br,3
DENIS,69,@servicodoemail.com,denis@servicodoemail.com,3
RIAN,209,@dominioemail.com.br,rian@dominioemail.com.br,1
CELIO,388,@servicodoemail.com,celio@servicodoemail.com,1
CLAUDINEI,254,@servicodoemail.com,claudinei@servicodoemail.com,1
DENILSON,335,@servicodoemail.com,denilson@servicodoemail.com,4
IAGO,340,@dominioemail.com.br,iago@dominioemail.com.br,2
EDER,112,@servicodoemail.com,eder@servicodoemail.com,2
YURI,225,@servicodoemail.com,yuri@servicodoemail.com,1
CHARLES,33,@servicodoemail.com,charles@servicodoemail.com,3
MARLON,74,@servicodoemail.com,marlon@servicodoemail.com,3
ALISON,48,@servicodoemail.com,alison@servicodoemail.com,4
JONATAN,127,@servicodoemail.com,jonatan@servicodoemail.com,2
ERIC,114,@servicodoemail.com,eric@servicodoemail.com,4
ELTON,97,@dominioemail.com.br,elton@dominioemail.com.br,4
VALDECIR,226,@servicodoemail.com,valdecir@servicodoemail.com,1
WESLEI,215,@servicodoemail.com,weslei@servicodoemail.com,2
NATANAEL,58,@servicodoemail.com,natanael@servicodoemail.com,1
ERICK,124,@dominioemail.com.br,erick@dominioemail.com.br,2
AGNALDO,107,@servicodoemail.com,agnaldo@servicodoemail.com,4
KAUAN,84,@servicodoemail.com,kauan@servicodoemail.com,1
ODAIR,18,@dominioemail.com.br,odair@dominioemail.com.br,3
WALTER,231,@dominioemail.com.br,walter@dominioemail.com.br,1
ARLINDO,99,@servicodoemail.com,arlindo@servicodoemail.com,4
MICHAEL,323,@dominioemail.com.br,michael@dominioemail.com.br,5
ALVARO,383,@dominioemail.com.br,alvaro@dominioemail.com.br,1
GEOVANE,366,@servicodoemail.com,geovane@servicodoemail.com,2
